============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Apr 13 2023  02:06:44 am
  Module:                 top_FNN
  Technology library:     uk65lscllmvbbr_120c25_tc 
  Operating conditions:   uk65lscllmvbbr_120c25_tc (balanced_tree)
  Wireload mode:          top
  Area mode:              timing library
============================================================

                                      
     Gate       Instances     Area              Library           
------------------------------------------------------------------
ADCSIOM2R            2380    5997.600    uk65lscllmvbbr_120c25_tc 
ADCSIOM4R              18      77.760    uk65lscllmvbbr_120c25_tc 
ADFCGCM2RA            475    2223.000    uk65lscllmvbbr_120c25_tc 
ADFCGCM4RA             87     438.480    uk65lscllmvbbr_120c25_tc 
ADFCGOM2RA              9      29.160    uk65lscllmvbbr_120c25_tc 
ADFCM2RA              120    1209.600    uk65lscllmvbbr_120c25_tc 
ADFCM4RA              362    4561.200    uk65lscllmvbbr_120c25_tc 
ADFCSIOM2R              2      20.880    uk65lscllmvbbr_120c25_tc 
ADFCSIOM4R              1      11.160    uk65lscllmvbbr_120c25_tc 
ADFM2RA               582    4399.920    uk65lscllmvbbr_120c25_tc 
ADFM4RA                24     207.360    uk65lscllmvbbr_120c25_tc 
ADFOM2RA               39     435.240    uk65lscllmvbbr_120c25_tc 
ADFOM4RA               66     807.840    uk65lscllmvbbr_120c25_tc 
ADHCM2R                10      64.800    uk65lscllmvbbr_120c25_tc 
ADHM1RA               125     720.000    uk65lscllmvbbr_120c25_tc 
ADHM2RA               262    1603.440    uk65lscllmvbbr_120c25_tc 
ADHM4RA               100     720.000    uk65lscllmvbbr_120c25_tc 
ADHM8RA                 2      21.600    uk65lscllmvbbr_120c25_tc 
ADHOM2R                81     379.080    uk65lscllmvbbr_120c25_tc 
ADHOM4R                10      75.600    uk65lscllmvbbr_120c25_tc 
AN2M12RA               76     465.120    uk65lscllmvbbr_120c25_tc 
AN2M16RA               80     576.000    uk65lscllmvbbr_120c25_tc 
AN2M1R                738    1594.080    uk65lscllmvbbr_120c25_tc 
AN2M22RA               10     104.400    uk65lscllmvbbr_120c25_tc 
AN2M2R               1382    2985.120    uk65lscllmvbbr_120c25_tc 
AN2M4R                358     902.160    uk65lscllmvbbr_120c25_tc 
AN2M6R                 32     115.200    uk65lscllmvbbr_120c25_tc 
AN2M8R                 46     198.720    uk65lscllmvbbr_120c25_tc 
AN3M16RA                2      17.280    uk65lscllmvbbr_120c25_tc 
AN3M22RA                1      12.600    uk65lscllmvbbr_120c25_tc 
AN3M2R                301     758.520    uk65lscllmvbbr_120c25_tc 
AN3M4R                 37     106.560    uk65lscllmvbbr_120c25_tc 
AN3M6R                  5      23.400    uk65lscllmvbbr_120c25_tc 
AN3M8R                  5      27.000    uk65lscllmvbbr_120c25_tc 
AN4M1R                 19      54.720    uk65lscllmvbbr_120c25_tc 
AN4M2R                386    1111.680    uk65lscllmvbbr_120c25_tc 
AN4M4RA                25      81.000    uk65lscllmvbbr_120c25_tc 
AN4M6R                 49     264.600    uk65lscllmvbbr_120c25_tc 
AO211M1RA             521    1500.480    uk65lscllmvbbr_120c25_tc 
AO211M2RA              44     126.720    uk65lscllmvbbr_120c25_tc 
AO211M4RA               1       3.240    uk65lscllmvbbr_120c25_tc 
AO21M12RA               4      30.240    uk65lscllmvbbr_120c25_tc 
AO21M1RA              137     345.240    uk65lscllmvbbr_120c25_tc 
AO21M2RA             1012    2550.240    uk65lscllmvbbr_120c25_tc 
